Part;Value;Device;Package;Description;BOM;DNP;PARTNO
C1;12pF;CPL-CAP-C0G-0603-12PF-50V;C0603;"Capacitor: 12pF, 50V, 5%;";;;
C2;0.1u;CAP0805;0805;Capacitor;;;CC0805ZRY5V9BB104
C3;100uF;CPOL-USD;PANASONIC_D;POLARIZED CAPACITOR, American symbol;;;25TXV100M6.3X8
C4;0.1u;CAP0805;0805;Capacitor;;;CC0805ZRY5V9BB104
C5;0.1uF;CPL-CAP-X5R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X5R;";;;
C6;10nF;CPL-CAP-X7R-10NF-16V;C0603;"Capacitor: 10nF(0.01uF), 16V, 5%;";;;
C7;0.1uF;CPL-CAP-X5R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X5R;";;;
C8;10nF;CPL-CAP-X7R-10NF-16V;C0603;"Capacitor: 10nF(0.01uF), 16V, 5%;";;;
C9;0.1uF;CPL-CAP-X5R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X5R;";;;
C10;10nF;CPL-CAP-X7R-10NF-16V;C0603;"Capacitor: 10nF(0.01uF), 16V, 5%;";;;
C11;12pF;CPL-CAP-C0G-0603-12PF-50V;C0603;"Capacitor: 12pF, 50V, 5%;";;;
C12;12pF;CPL-CAP-C0G-0603-12PF-50V;C0603;"Capacitor: 12pF, 50V, 5%;";;;
C13;0.1uF;CPL-CAP-X5R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X5R;";;;
C14;10uF;CPL-CAP-ALU-RAD-10UF-50V;C-RAD-6.3MM;;;;
C15;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C16;470 nF;CPL-CAP-X7R-0603-0.47UF-35V;C0603;;;;
C17;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C18;0.1uF;CPL-CAP-X7R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X7R;";;;
C19;0.1uF;CPL-CAP-X7R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X7R;";;;
C20;1uF;CPL-CAP-ALU-SMD-1UF-50V;C-SMD-4MM;"Capacitor, Al-Electrolytic: 1uF,  50v, 20%;";;;
