Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
*,*,*,J8/Q1,2,*** PART# '*' NOT FOUND : J8/Q1
*,*,1-5406721-3,RJ1,1,*** PART# '1-5406721-3' NOT FOUND : RJ1
1N4148W-FDICT-ND,Diodes Incorporated,1N4148W-7-F,REF36,1,
*,*,74LVC1G04,U4,1,*** PART# '74LVC1G04' NOT FOUND : U4
*,*,47334-0001,J4,1,*** PART# '47334-0001' NOT FOUND : J4
*,*,61729-1011BLF,J3,1,*** PART# '61729-1011BLF' NOT FOUND : J3
*,*,67996-206HLF,J1,1,*** PART# '67996-206HLF' NOT FOUND : J1
*,*,67997-108HLF,J10/J11/J12/J13/J14/J15,6,*** PART# '67997-108HLF' NOT FOUND : J10/J11/J12/J13/J14/J15
*,*,68000-102HLF,J9,1,*** PART# '68000-102HLF' NOT FOUND : J9
*,*,68000-103HLF,J5/J6/J7,3,*** PART# '68000-103HLF' NOT FOUND : J5/J6/J7
*,*,147873-2,S2/S3,2,*** PART# '147873-2' NOT FOUND : S2/S3
*,*,BLM18AG121SN1D,FB1/FB2,2,*** PART# 'BLM18AG121SN1D' NOT FOUND : FB1/FB2
*,*,C1608X7R1V334M080AB,C50/C60/C73,3,*** PART# 'C1608X7R1V334M080AB' NOT FOUND : C50/C60/C73
*,*,CAHCT1G126QDCKRG4,U5,1,*** PART# 'CAHCT1G126QDCKRG4' NOT FOUND : U5
*,*,CHS-01TA,S1,1,*** PART# 'CHS-01TA' NOT FOUND : S1
*,*,DR125-101-R,L1,1,*** PART# 'DR125-101-R' NOT FOUND : L1
*,*,EMVA250ADA471MJA0G,C38,1,*** PART# 'EMVA250ADA471MJA0G' NOT FOUND : C38
*,*,EMVA500ADA101MHA0G,C3,1,*** PART# 'EMVA500ADA101MHA0G' NOT FOUND : C3
*,*,EMVE500ADA1R0MD55G,C20,1,*** PART# 'EMVE500ADA1R0MD55G' NOT FOUND : C20
*,*,EMVH350ADA100MF60G,C14/C22,2,*** PART# 'EMVH350ADA100MF60G' NOT FOUND : C14/C22
*,*,EMVY500ADA221MJA0G,C37,1,*** PART# 'EMVY500ADA221MJA0G' NOT FOUND : C37
*,*,GCM1885C1H180JA16D,C26/C30/C31/C32,4,*** PART# 'GCM1885C1H180JA16D' NOT FOUND : C26/C30/C31/C32
*,*,GMK107BJ104KAHT,C5/C7/C9/C13/C18/C19/C23/C24/C25/C28/C29/C34,12,*** PART# 'GMK107BJ104KAHT' NOT FOUND : C5/C7/C9/C13/C18/C19/C23/C24/C25/C28/C29/C34
*,*,GRM188R71H103KA01D,C6/C8/C10/C27,4,*** PART# 'GRM188R71H103KA01D' NOT FOUND : C6/C8/C10/C27
*,*,GRM188R71H223KA01D,C49/C59/C72,3,*** PART# 'GRM188R71H223KA01D' NOT FOUND : C49/C59/C72
